,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AvgMonthSpend,City_n,Education_n,Occupation_n,Gender_n,MaritalStatus_n,BikeBuyer
70,0,2,0,0,82258,51.48,57,1,0,1,1,1
71,1,1,2,2,54200,55.34,58,2,1,0,0,1
72,0,2,0,0,60908,51.97,42,1,1,1,1,1
73,1,2,0,0,105007,54.5,59,0,3,0,1,1
74,1,0,1,1,32319,48.12,58,2,2,1,0,1
75,0,1,0,0,52311,57.27,60,1,1,0,1,0
76,1,2,0,0,82851,54.25,61,1,0,1,1,0
77,1,1,2,2,29111,53.22,62,2,2,0,0,0
78,1,1,1,1,81985,52.19,63,4,0,0,0,1
79,1,0,0,0,33954,46.19,0,3,2,1,1,0
80,0,0,0,0,29016,45.76,64,1,2,1,1,0
81,1,0,1,2,33152,50.02,2,2,2,1,0,1
82,1,1,2,2,80331,53.77,65,4,0,0,0,1
83,1,1,1,1,79235,51.62,66,0,0,1,1,0
84,0,1,0,0,35390,50.42,32,4,2,1,1,0
85,0,3,0,0,136457,52.17,67,4,4,0,1,0
86,1,1,0,0,53549,53.1,0,2,1,1,1,0
87,1,0,1,2,85674,50.64,46,1,0,1,0,1
88,1,3,0,2,129242,52.48,68,0,4,0,0,1
89,1,1,2,2,61829,52.85,69,3,1,1,0,1
90,1,3,0,0,111980,59.52,70,0,3,0,1,1
91,1,0,1,1,54675,52.61,71,0,1,1,0,1
92,1,3,0,0,106648,53.81,72,1,3,1,1,1
93,0,1,0,0,58037,52.65,35,3,1,0,1,0
94,1,2,0,1,106062,51.69,73,1,3,1,0,1
95,0,1,0,0,28008,56.39,74,2,2,0,1,0
96,1,2,0,3,86828,50.62,75,4,0,0,0,0
97,0,2,0,0,61109,57.61,7,1,1,0,1,1
98,1,1,1,2,35142,47.02,76,4,2,1,0,0
99,0,2,0,0,59673,48.54,77,2,1,1,0,0
100,1,3,1,2,133272,56.63,21,0,4,0,0,1
101,1,3,0,1,81957,50.09,28,1,0,0,1,0
102,0,1,0,0,103314,52.78,78,1,3,1,1,0
103,1,2,0,0,103546,51.61,79,4,3,1,1,1
104,0,0,1,1,58317,48.05,72,0,1,0,0,1
105,1,2,0,2,55825,48.53,80,0,1,0,0,0
106,0,1,0,0,36367,48.33,81,4,2,1,1,0
107,0,2,0,0,107852,54.89,82,0,3,1,1,1
108,1,0,0,0,105888,51.31,83,0,3,0,0,0
109,0,1,0,0,31956,50.51,84,3,2,0,1,0
110,0,0,0,0,83026,50.25,85,2,0,1,0,1
111,1,2,0,0,110808,56.85,34,4,3,0,1,1
112,1,1,2,2,51566,50.94,86,3,1,1,0,1
113,1,3,1,2,132962,54.67,31,0,4,1,0,1
114,1,2,0,0,135064,55.61,87,4,4,0,1,1
115,1,2,0,0,135997,54.2,20,4,4,1,1,1
116,0,1,0,0,57770,49.68,50,2,1,1,1,0
117,0,1,0,0,113290,54.55,21,0,3,0,1,0
118,1,1,1,2,81214,54.11,88,1,0,1,0,0
119,1,2,0,2,80624,49.58,89,0,0,1,0,0
120,1,2,0,1,106908,53.03,73,0,3,1,1,0
121,0,1,0,0,51796,56.24,85,0,1,0,1,0
122,1,2,1,2,80764,52.27,11,4,0,0,0,1
123,0,0,0,1,35297,47.28,90,3,2,1,0,0
124,0,1,0,0,78604,51.54,91,1,0,1,1,0
125,1,3,0,0,102869,57.71,92,0,3,0,0,0
126,1,1,1,2,62293,54.24,20,2,1,0,0,1
127,0,1,0,0,34607,48.11,93,1,2,0,1,1
128,1,2,1,2,53042,50.06,94,1,1,1,0,1
129,0,1,0,0,106195,55.41,95,0,3,1,1,0
130,1,2,0,2,106360,51.7,96,1,3,1,0,1
131,1,2,1,1,110288,54.03,67,1,3,0,0,1
132,0,1,0,0,112590,52.71,97,4,3,0,1,1
133,1,0,1,2,30844,52.73,96,1,2,0,0,1
134,1,2,0,3,109611,51.0,10,4,3,0,0,0
135,1,2,0,0,111685,52.96,29,1,3,1,1,1
136,1,0,1,1,30259,49.14,51,4,2,1,1,1
137,0,2,0,0,82339,52.62,98,1,0,0,1,0
138,1,1,0,0,87633,61.12,99,2,0,0,1,1
139,0,1,0,0,80782,51.66,100,4,0,0,1,1
140,1,1,0,2,57125,48.74,54,1,1,1,0,1
141,0,2,0,0,56092,50.33,63,0,1,0,1,1
142,1,2,0,0,131943,52.71,75,4,4,1,0,1
143,1,2,0,2,52627,50.78,101,3,1,0,0,0
144,1,1,0,2,26331,53.52,13,1,2,0,0,0
145,0,1,0,0,27908,48.73,102,0,2,0,1,0
146,0,1,0,0,56751,60.78,19,2,1,0,1,0
147,1,1,1,2,32619,57.06,57,0,2,0,0,1
148,1,3,0,0,105983,51.26,100,0,3,1,0,0
149,1,1,1,2,128877,52.95,100,4,4,1,0,1
150,1,2,1,1,55000,49.93,25,2,1,1,1,1
151,0,1,0,0,50910,48.8,103,2,1,1,1,0
152,1,2,1,1,57493,52.42,39,1,1,0,0,1
153,1,0,1,1,82095,53.16,104,1,0,1,1,1
154,0,2,0,0,136001,56.7,105,0,4,0,1,0
155,1,3,0,0,104443,51.04,7,0,3,1,0,1
156,0,1,0,0,59013,49.99,69,1,1,1,1,0
157,0,1,0,0,54240,56.33,69,1,1,0,1,0
158,1,3,0,2,103150,50.8,106,0,3,1,0,1
159,1,3,1,2,108823,53.12,107,1,3,1,0,1
160,0,2,0,0,77300,53.95,28,2,0,1,1,0
161,1,2,0,1,82308,49.8,108,1,0,1,0,1
162,1,1,0,0,129719,56.22,67,4,4,1,1,0
163,0,0,0,0,36588,46.38,109,1,2,0,1,0
164,1,3,0,0,81053,50.38,30,1,0,1,1,0
165,1,0,2,2,35160,48.62,39,2,2,1,0,1
166,1,1,0,0,57655,57.32,73,2,1,0,1,0
167,1,2,1,1,61513,57.36,110,3,1,0,0,1
168,0,0,0,0,57933,48.84,64,2,1,0,0,1
169,0,2,0,0,104429,54.84,111,0,3,0,1,1
170,1,0,0,2,32494,52.5,112,2,2,0,0,1
171,0,2,0,0,51293,48.28,113,2,1,1,0,0
172,1,3,1,2,78805,49.99,16,1,0,0,0,1
173,0,1,0,0,33244,48.21,114,3,2,0,1,0
174,1,1,1,1,30115,59.27,115,1,2,0,0,1
175,1,1,1,1,55404,50.3,116,1,1,0,1,1
176,0,0,0,0,34165,47.46,117,1,2,1,1,0
177,1,2,1,2,57132,53.79,14,2,1,0,0,1
178,1,2,0,0,132560,52.2,118,4,4,0,1,0
179,1,1,1,2,53062,54.72,99,2,1,0,0,1
180,1,0,1,2,79950,52.93,119,0,0,1,0,1
181,1,2,0,1,83167,57.56,120,0,0,0,0,1
182,1,0,0,0,77729,51.78,121,1,0,0,1,1
183,1,1,1,1,54058,48.36,122,1,1,1,0,1
184,1,1,0,2,87071,50.5,92,4,0,1,0,1
185,0,0,0,0,26818,47.15,97,2,2,1,1,0
186,1,0,0,2,52630,49.83,94,0,1,0,0,1
187,1,2,0,2,83410,54.85,39,1,0,0,0,1
188,1,2,1,2,83299,51.33,123,1,0,1,0,1
189,1,1,1,1,54201,50.72,70,0,1,1,1,0
190,1,2,0,0,133136,53.04,20,4,4,1,1,1
191,0,2,0,0,60371,51.53,124,3,1,0,1,1
192,1,1,1,2,55220,48.65,119,1,1,1,0,1
193,1,1,0,2,85098,53.81,76,1,0,0,0,0
194,1,2,0,0,129013,54.8,14,0,4,0,1,1
195,0,2,0,0,106013,55.82,110,0,3,1,1,1
196,0,2,0,0,77922,51.39,96,1,0,1,1,1
197,1,3,0,0,104734,51.2,86,4,3,1,0,0
198,0,2,0,0,83202,53.98,30,1,0,1,1,0
199,1,1,1,2,61391,50.08,81,2,1,0,0,1
200,1,0,0,0,82687,52.24,125,2,0,1,1,0
201,0,1,0,0,83361,50.99,114,1,0,0,1,0
202,0,2,0,0,57161,47.93,126,0,1,1,0,1
203,1,3,1,2,109320,54.16,127,4,3,1,0,1
204,1,1,1,2,27866,58.64,128,1,2,0,0,0
205,1,1,0,0,53889,49.64,20,2,1,1,1,0
206,1,0,0,2,53916,48.5,129,3,1,0,0,1
207,0,1,0,0,56880,48.52,129,2,1,1,0,0
208,1,3,1,2,85533,53.51,34,2,0,1,0,1
209,1,1,0,0,109072,51.35,130,0,3,1,1,0
210,1,4,0,2,110148,52.17,39,4,3,0,0,0
211,1,2,1,2,103959,55.47,94,1,3,1,0,1
212,0,1,0,0,54230,49.34,106,2,1,1,1,0
213,1,2,0,0,133903,54.91,87,0,4,1,1,1
214,1,1,0,0,79311,57.12,92,0,0,0,1,1
215,1,2,0,2,84084,49.84,131,1,0,1,0,1
216,0,2,0,0,54821,51.55,132,0,1,0,1,1
217,1,2,1,2,77748,56.89,37,1,0,0,0,1
218,1,0,2,2,27122,46.82,26,2,2,0,0,0
219,0,0,0,0,62520,50.43,133,1,1,0,1,1
220,0,1,0,0,55096,48.2,134,1,1,1,1,0
221,1,2,1,2,83229,54.53,135,0,0,0,0,1
222,1,0,0,3,60347,48.28,126,0,1,1,0,0
223,0,0,1,1,27006,47.03,76,1,2,1,0,0
224,1,0,0,0,56071,53.02,38,2,1,0,1,0
225,1,0,0,0,51705,48.04,10,1,1,0,1,1
226,1,0,1,2,87993,61.69,43,4,0,0,0,1
227,1,2,0,2,81913,50.37,136,1,0,1,0,1
228,0,0,0,0,55838,51.84,95,0,1,1,1,1
229,0,1,0,0,32924,48.47,133,1,2,1,1,0
230,1,2,2,2,136633,52.44,64,0,4,1,0,1
231,1,1,0,3,28954,45.77,94,4,2,0,0,0
232,1,1,0,1,78271,54.57,42,1,0,0,0,0
233,0,0,0,0,54082,52.55,137,1,1,0,1,1
234,1,2,0,0,102019,51.15,95,1,3,1,1,1
235,1,1,0,2,58336,55.31,60,0,1,0,0,1
236,1,2,0,0,106235,50.93,138,0,3,0,0,1
237,1,1,0,2,132506,55.78,139,4,4,0,0,0
238,1,0,2,2,61547,52.04,140,1,1,1,0,1
239,1,2,1,1,134871,54.78,141,4,4,0,1,1
240,0,1,0,0,51970,48.52,142,2,1,1,1,0
241,1,3,0,0,129017,52.94,143,4,4,1,1,1
242,1,1,0,0,51980,49.82,118,2,1,1,1,0
243,0,1,0,0,107530,53.85,144,0,3,1,1,0
244,1,1,0,1,80444,49.84,141,4,0,0,0,1
245,1,2,0,0,105715,52.54,21,1,3,1,1,1
246,1,0,0,1,77151,53.76,92,4,0,0,1,1
247,1,1,0,2,81669,50.68,98,0,0,1,0,0
248,0,2,0,0,81432,53.33,145,4,0,1,1,0
249,0,0,0,0,34298,49.64,101,0,2,0,1,1
250,1,1,0,2,107934,50.55,8,0,3,1,0,0
251,0,2,0,0,109457,55.18,61,4,3,1,1,1
252,0,1,1,1,54266,48.71,128,0,1,0,0,1
253,0,0,0,0,26150,45.07,89,2,2,1,1,0
254,1,3,1,2,112302,65.29,136,4,3,0,0,1
255,1,3,1,1,81542,52.28,128,4,0,1,0,1
256,1,2,1,2,51854,48.96,124,2,1,0,0,1
257,0,0,0,0,54153,49.83,113,0,1,1,1,1
258,1,1,0,0,105736,60.95,146,0,3,0,1,0
259,0,2,0,0,54626,49.02,127,1,1,1,1,1
260,0,2,0,0,83144,49.95,101,0,0,0,0,1
261,1,2,2,2,135029,52.19,125,4,4,0,0,1
262,1,0,0,2,52476,48.37,100,0,1,1,0,1
263,1,0,0,0,84807,51.68,147,0,0,1,1,0
264,0,0,0,0,36634,47.45,92,2,2,1,1,1
265,0,3,0,0,84866,52.34,51,0,0,1,1,0
266,1,1,1,2,79867,51.3,103,0,0,0,0,1
267,1,0,0,2,51783,48.34,58,4,1,0,0,0
268,1,1,1,2,55768,49.91,148,4,1,1,0,1
269,1,2,1,2,80690,53.74,84,1,0,1,0,1
270,0,0,0,0,30247,46.58,131,2,2,1,0,1
271,1,2,0,2,83705,54.01,149,1,0,0,0,1
272,0,2,0,0,106597,50.76,101,0,3,1,1,0
273,0,0,1,2,60958,48.95,92,4,1,1,0,1
274,1,2,0,0,111130,63.85,97,0,3,0,1,1
275,1,0,0,1,53604,48.03,80,0,1,0,0,1
276,0,1,0,0,57269,48.55,115,2,1,1,0,0
277,0,2,0,0,61287,51.94,139,0,1,0,1,1
278,0,1,0,0,77098,49.88,111,2,0,1,1,0
279,0,2,0,0,52607,47.88,113,2,1,0,0,1
280,1,2,0,2,130743,56.86,99,0,4,0,0,1
281,1,0,1,2,59358,50.77,150,2,1,0,0,1
282,1,0,1,1,54025,58.93,107,2,1,0,0,1
283,1,2,1,2,79556,52.52,151,1,0,1,0,1
284,1,1,0,2,128521,52.14,83,0,4,1,0,0
285,1,1,1,2,51642,60.33,152,1,1,0,0,1
286,1,2,0,0,52484,48.06,153,1,1,1,1,1
287,0,0,0,0,30051,54.72,19,2,2,0,1,1
288,1,1,1,1,25495,46.72,135,3,2,1,0,0
289,1,2,1,2,136250,52.89,60,0,4,0,0,1
290,0,0,0,0,51351,50.49,111,0,1,1,1,1
291,1,2,0,0,134516,54.09,120,0,4,0,1,1
292,0,2,0,0,58340,47.92,154,1,1,0,0,1
293,1,3,1,2,78194,51.27,106,1,0,0,0,1
294,0,0,1,2,27849,44.95,155,4,2,0,0,0
295,0,0,0,0,31315,45.82,156,3,2,0,1,0
296,1,2,2,2,133103,55.68,39,4,4,1,0,1
297,0,1,0,0,85953,53.66,39,2,0,0,1,1
298,0,0,0,0,78356,53.89,157,2,0,1,1,1
299,1,2,0,0,132022,59.88,158,4,4,0,0,1
300,1,2,0,0,103281,52.11,159,0,3,1,0,1
301,0,0,0,0,36326,47.59,153,3,2,0,1,0
302,0,2,0,0,80632,51.45,149,0,0,1,1,1
303,1,1,0,1,54443,48.16,22,0,1,1,0,0
304,1,1,1,2,53720,51.27,160,1,1,0,0,1
305,1,2,2,2,138094,57.58,65,0,4,0,0,1
306,0,2,0,0,81168,53.38,113,0,0,1,1,0
307,1,0,0,2,110907,51.67,76,0,3,0,0,1
308,1,2,0,2,55051,48.71,161,1,1,0,0,0
309,1,1,1,2,60460,50.25,28,2,1,0,0,1
310,1,1,0,2,113065,56.2,99,1,3,0,0,0
311,0,2,0,0,78659,51.01,114,1,0,1,1,1
312,1,0,1,2,60825,49.8,71,2,1,1,0,1
313,0,0,0,0,51307,54.85,8,1,1,0,1,1
314,1,2,1,1,135850,53.04,158,4,4,1,1,1
315,0,1,0,0,56139,50.17,71,2,1,1,1,0
316,1,1,0,2,106292,54.08,156,1,3,0,0,1
317,1,0,1,2,86492,53.3,145,4,0,0,0,1
318,0,2,0,0,78270,49.89,60,0,0,1,1,1
319,1,2,1,2,76306,51.6,115,1,0,1,0,1
320,0,0,0,0,26611,49.1,9,3,2,0,1,0
321,0,1,0,0,53598,50.0,149,2,1,1,1,0
322,1,1,1,2,55540,48.25,44,3,1,1,0,1
323,1,2,0,0,138508,52.1,97,4,4,0,0,0
324,1,0,0,3,103553,50.42,58,4,3,1,0,1
325,1,2,0,0,106124,61.62,78,0,3,0,1,1
326,0,3,0,0,87137,50.42,24,1,0,0,0,0
327,1,0,0,1,53321,56.64,78,3,1,0,0,0
328,0,2,0,0,106613,51.41,162,0,3,1,1,1
329,1,0,0,0,53096,47.62,60,2,1,1,1,1
330,1,1,0,0,60793,52.1,87,3,1,0,1,1
331,0,1,0,0,30763,59.24,147,3,2,0,1,0
332,1,0,0,2,135185,52.68,112,4,4,1,0,0
333,1,1,0,0,57677,59.09,131,3,1,0,1,0
334,1,1,1,2,78065,59.07,163,0,0,0,0,1
335,1,2,1,2,82159,55.33,100,0,0,0,0,1
336,1,3,1,2,104925,60.88,164,0,3,0,0,1
337,0,2,0,0,53762,50.67,16,1,1,1,1,1
338,0,0,0,0,85651,50.85,123,0,0,1,0,0
339,1,1,1,1,78680,50.72,133,1,0,1,0,1
340,1,2,0,2,138681,53.75,142,4,4,0,0,1
341,0,0,0,0,86677,53.75,82,2,0,0,1,1
342,1,0,0,0,84713,50.43,82,1,0,1,1,1
343,1,3,0,0,102387,51.8,120,1,3,1,1,1
344,0,0,0,0,26017,47.35,165,3,2,0,1,0
345,0,2,0,0,78140,56.06,166,1,0,0,1,1
346,1,2,0,2,57071,49.02,78,1,1,1,0,0
347,1,1,0,1,36338,47.0,111,4,2,1,0,0
348,1,2,0,1,55936,48.44,83,0,1,1,0,0
349,0,2,0,0,59776,49.16,97,0,1,1,1,0
350,1,1,0,1,53200,50.59,145,3,1,1,1,0
351,1,0,2,2,33934,50.69,165,1,2,0,0,1
352,0,0,0,0,58601,49.56,166,4,1,0,1,0
353,0,3,0,0,78945,51.41,167,2,0,1,1,0
354,0,0,0,0,32044,48.07,63,2,2,1,1,0
355,1,2,1,1,112047,53.7,56,1,3,1,1,1
356,1,0,0,1,79952,49.27,168,2,0,0,0,1
357,1,1,0,2,35702,52.27,157,1,2,0,0,1
358,1,0,1,2,57286,48.22,88,1,1,1,0,1
359,0,0,0,1,57036,49.26,80,4,1,0,0,1
360,1,2,1,1,82552,52.33,169,0,0,1,0,1
361,1,1,1,2,130517,55.81,21,0,4,0,0,1
362,1,0,0,1,32990,48.65,82,0,2,0,1,1
363,0,1,0,0,35976,46.76,115,2,2,1,0,0
364,0,0,0,0,80570,52.34,116,4,0,1,1,1
365,1,1,0,2,58899,48.79,170,2,1,1,0,1
366,0,0,0,0,61956,52.08,171,3,1,1,1,0
367,1,1,0,2,27870,46.65,158,2,2,0,0,0
368,0,2,0,0,51704,52.13,116,0,1,0,1,1
369,0,0,0,0,105891,54.67,82,1,3,1,1,0
370,1,3,0,2,82216,49.39,55,1,0,1,0,1
371,0,1,0,0,58372,48.93,69,0,1,1,1,0
372,1,1,1,2,56626,52.89,1,1,1,1,0,1
373,1,2,0,1,53367,55.4,150,1,1,0,0,0
374,0,0,0,0,28750,45.95,6,3,2,0,1,0
375,1,2,0,2,59994,49.44,125,4,1,1,0,0
376,1,2,1,2,54516,51.71,19,2,1,0,0,1
377,0,1,0,0,53750,51.76,115,3,1,0,1,1
378,0,0,0,0,57716,52.75,99,0,1,1,1,1
379,0,0,0,0,28383,46.04,92,2,2,0,0,0
380,0,0,0,0,36569,51.24,172,3,2,0,1,0
381,1,3,2,2,109581,54.34,173,1,3,0,0,1
382,1,0,0,0,76776,50.13,43,1,0,1,1,1
383,1,2,0,0,137727,54.32,120,4,4,1,1,1
384,1,2,1,2,55340,51.74,43,1,1,1,0,1
385,0,1,0,0,27779,49.83,174,1,2,1,1,0
386,1,0,0,2,56833,51.51,112,0,1,0,0,1
387,0,0,0,0,33026,49.25,175,2,2,1,1,1
388,1,1,0,1,78520,50.52,21,1,0,1,0,0
389,1,1,0,3,54573,47.49,43,4,1,0,0,1
390,1,1,1,2,128329,61.65,96,4,4,0,0,1
391,1,0,1,2,57689,52.41,176,2,1,1,0,1
392,0,1,0,0,36575,46.85,150,1,2,1,0,1
393,1,0,0,0,32896,49.24,19,3,2,1,1,0
394,1,0,0,1,81432,51.21,104,0,0,0,0,1
395,1,1,1,2,34554,52.58,139,3,2,0,0,0
396,1,1,1,1,54375,50.17,39,2,1,0,1,1
397,1,2,2,2,111563,57.54,108,0,3,0,0,1
398,1,1,1,2,85889,52.65,2,1,0,0,0,1
399,0,0,0,0,62077,50.78,80,2,1,1,1,1
400,1,2,1,1,78344,59.05,128,2,0,0,0,1
401,1,0,1,2,52349,57.08,4,1,1,0,0,1
402,0,1,0,0,61820,50.47,78,3,1,1,1,0
403,1,3,1,2,128425,62.7,112,4,4,0,0,1
404,1,2,2,2,84402,53.02,177,0,0,1,0,1
405,1,1,0,0,108902,58.43,154,0,3,0,1,0
406,0,2,0,0,62372,48.62,173,0,1,0,1,1
407,1,3,0,0,133099,52.28,70,4,4,0,0,1
408,0,0,0,0,85962,54.34,87,2,0,1,1,1
409,1,2,0,2,129522,55.38,67,0,4,0,0,0
410,1,1,1,1,34135,47.29,65,1,2,1,0,1
411,1,0,0,1,59521,55.15,23,2,1,0,0,0
412,1,1,1,2,34487,48.22,63,4,2,1,0,1
413,0,1,0,0,54306,50.16,27,3,1,0,1,1
414,1,2,0,0,79606,53.6,131,4,0,1,1,0
415,0,1,0,0,77126,56.14,65,4,0,0,1,1
416,0,1,0,0,59362,51.25,159,1,1,0,1,1
417,0,1,0,0,34019,47.17,82,3,2,1,1,0
418,1,2,0,0,129567,56.05,178,4,4,1,1,1
419,0,2,0,0,60667,54.42,167,1,1,0,1,1
420,1,2,0,2,138022,52.27,179,4,4,1,0,0
421,0,1,0,0,53629,50.52,154,1,1,1,1,0
422,1,0,0,0,107890,60.61,180,4,3,0,1,1
423,0,0,0,0,83477,52.7,73,1,0,0,1,0
424,0,0,0,0,25978,47.12,100,1,2,1,1,0
425,1,2,0,2,57948,48.43,129,1,1,1,0,0
426,0,0,0,0,27626,46.56,25,0,2,0,1,0
427,1,0,0,1,52502,48.7,181,4,1,1,0,1
428,1,0,0,2,32859,45.89,93,2,2,1,0,0
429,0,0,0,2,34470,47.09,99,4,2,1,0,1
430,1,0,0,2,33994,45.66,107,1,2,0,0,1
431,0,2,0,0,56889,50.49,182,1,1,1,1,0
432,0,0,0,0,31101,49.86,159,0,2,0,1,1
433,1,2,1,2,79698,50.87,130,1,0,1,0,1
434,1,2,1,2,110846,54.4,158,1,3,1,0,1
435,0,1,0,0,57466,50.07,79,3,1,1,1,0
436,1,1,1,2,57090,49.65,83,3,1,1,0,1
437,0,3,0,0,82037,53.06,128,2,0,1,1,0
438,0,2,0,0,52717,53.41,79,0,1,0,1,1
439,0,3,0,0,79118,54.45,183,1,0,1,1,0
440,0,1,2,2,36501,49.32,125,4,2,1,0,1
441,0,0,0,0,86737,54.73,184,1,0,1,1,1
442,1,0,1,2,58529,52.36,92,0,1,0,0,1
443,1,3,1,1,107870,54.49,94,0,3,1,1,1
444,0,1,0,1,58953,49.24,155,0,1,0,0,0
445,1,2,1,2,77607,59.43,64,1,0,0,0,1
446,1,2,0,3,59464,48.8,29,1,1,0,0,0
447,0,2,0,0,57786,48.42,151,2,1,0,0,1
448,0,1,0,1,31877,45.99,81,2,2,0,0,0
449,1,0,0,3,53308,48.79,160,2,1,1,0,1
450,1,3,0,0,137943,53.09,20,4,4,1,0,1
451,1,2,0,0,106718,54.84,115,1,3,1,1,0
452,1,1,0,0,61966,58.95,48,3,1,0,1,1
453,0,0,0,0,59016,51.56,57,3,1,1,1,0
454,0,2,0,0,57754,48.17,6,1,1,1,1,1
455,1,1,0,0,87499,50.38,12,1,0,1,1,0
456,0,3,0,0,109789,56.08,101,1,3,1,1,1
457,1,3,0,0,104035,50.96,80,0,3,1,0,1
458,1,2,0,0,78413,58.54,25,1,0,0,1,1
459,1,2,0,2,78396,57.17,108,0,0,0,0,0
460,1,0,0,2,54441,48.93,108,0,1,0,0,1
461,0,0,0,0,28711,49.9,39,1,2,0,1,0
462,0,3,0,0,129067,56.02,67,4,4,1,1,1
463,1,1,1,2,105772,55.16,185,0,3,0,0,1
464,1,1,0,1,83057,53.46,39,1,0,0,1,0
465,1,1,1,2,56598,49.14,89,2,1,0,0,1
466,0,1,1,2,33503,48.4,73,0,2,1,0,1
467,1,2,0,0,135358,54.12,186,4,4,0,0,1
468,0,2,0,0,110952,54.93,61,0,3,1,1,1
469,1,3,0,0,136281,52.04,187,4,4,0,1,0
470,1,0,0,1,134033,55.46,158,4,4,1,1,1
471,1,1,1,2,129502,55.27,80,4,4,0,0,1
472,0,0,0,0,58387,49.15,24,2,1,0,1,1
473,1,3,0,0,102948,51.16,58,0,3,1,1,0
474,1,2,0,0,131323,51.91,117,0,4,0,0,1
